Company_Name,Contact_Email,Phone_Number,Revenue,Employees
TechCorp Solutions,contact@techcorp.com,+1-555-0101,5000000,50
InnovateSoft Inc,info@innovatesoft.com,+1-555-0102,12000000,120
DataFlow Systems,hello@dataflow.com,+1-555-0103,8500000,85
CloudTech Partners,support@cloudtech.com,+1-555-0104,25000000,250
Digital Dynamics,contact@digitaldynamics.com,+1-555-0105,15000000,150
Smart Solutions Ltd,info@smartsolutions.com,+1-555-0106,8000000,80
FutureTech Group,hello@futuretech.com,+1-555-0107,30000000,300
CyberNet Security,support@cybernet.com,+1-555-0108,18000000,180
AI Innovations,contact@aiinnovations.com,+1-555-0109,22000000,220
Blockchain Ventures,info@blockchainventures.com,+1-555-0110,12000000,120
